created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 21 23:59:59 +0000 2023;1715880641554952457;"Harus kita akui bersama, keberadaan Papua Youth Creative Hub sangat mrmbantu anak Muda Papua. PYCH menjadi pusat pengembangan talent, abakat maupun kreatifitas anak muda di  Papua  #KSTP_KejamTakBeradab  RIP Legend Sarwendah Ruben Jokowi Gibran https://t.co/cS9DSenPBT";1;4;9;11;in;1322908062059962369;1715880641554952457;coema_coemi;https://twitter.com/coema_coemi/status/1715880641554952457
Sat Oct 21 23:59:58 +0000 2023;1715880638644175249;"Demokrat Tepis Kabar Gibran Akan ke Cikeas: Pak SBY di Luar Kota.  "Pak SBY sedang di luar kota. Sudah 3 hari. Saya sendiri kebetulan sedang dampingi beliau" https://t.co/fRUxKNyMNe. @Yurissa_Samosir @Mdy_Asmara1701 @RikeSants @sudirmansaid @jansen_jsp @akang_hero @BennyHarmanID";0;0;0;0;in;1460142601449840652;1715880638644175249;Simanjunta9Nico;https://twitter.com/Simanjunta9Nico/status/1715880638644175249
Sat Oct 21 23:59:51 +0000 2023;1715880611620237584;"Penilaianku mas Gibran itu kalo selama di Banteng cuma akan dijadikan alat mendongkrak suara saja.";0;0;0;0;in;1543589921222324224;1715880611620237584;hadiansyah_han2;https://twitter.com/hadiansyah_han2/status/1715880611620237584
Sat Oct 21 23:59:47 +0000 2023;1715880594092228742;"Logis dan jepas jika @gibran_tweet ingin jadi presiden mengingat usia dan kesehatan pak @prabowo sudah lemah.  Jika menang,  paling bebrpa bulab saja,  lalu sakit,  amit amit mati,  tapi logikanya betul.  72 tahun bung,  usia menjelang geoar almarhum";0;0;0;0;in;1684889158169554944;1715880594092228742;doneidon71;https://twitter.com/doneidon71/status/1715880594092228742
Sat Oct 21 23:59:47 +0000 2023;1715880593312170233;"🌸  [LOGU] Toy Storage Box, Tabung penyimpan mainan anak,  ✨ https://t.co/3DmgRH4URQ  sarwendah Ruben Malming tidur FajRi Gibran MINWON JAYA JAYA JAYA We Love You Sohee Donna Suzy  wasit salak  #AMINkanIndonesia ShopeeID  🔗 https://t.co/3DmgRH4URQ https://t.co/hBLKNtHYsU";0;0;0;0;in;1661276654919106561;1715880593312170233;TaRos937;https://twitter.com/TaRos937/status/1715880593312170233
Sat Oct 21 23:59:45 +0000 2023;1715880585800151257;"@genx36545403 @jokowi @gibran_tweet @kaesangp Itu dulu Bu Mega,..... Sekarang lain Bu,...... Apa Ibu tdk kenal beliau....?";0;0;0;0;in;1559761689377394688;1715668498939367790;BaskaraTimoer;https://twitter.com/BaskaraTimoer/status/1715880585800151257
Sat Oct 21 23:59:39 +0000 2023;1715880561225748518;"@Ari3Pras Hidup Gibran 🤣";0;0;0;0;in;1603638703284371456;1715647671489441945;SilverQhueeen;https://twitter.com/SilverQhueeen/status/1715880561225748518
Sat Oct 21 23:59:37 +0000 2023;1715880551507472662;"@Fahrihamzah @gibran_tweet El e deeh, gini amat si pakri😀😀😀";0;0;0;0;in;1096333577640239105;1715741272831676699;DemoKreasi889;https://twitter.com/DemoKreasi889/status/1715880551507472662
Sat Oct 21 23:59:35 +0000 2023;1715880542326210654;"@gibran_tweet Kok rak ditawani markobar ya wkwk";0;0;0;0;in;624650341;1715757265888960853;yuuuuupiiiiiiii;https://twitter.com/yuuuuupiiiiiiii/status/1715880542326210654
Sat Oct 21 23:59:31 +0000 2023;1715880524861055080;"@KakekHalal Kenapa bgitu takut Prabowo berpasangan dg Gibran? Bukannya Ganjar jawara survey terus. Apa kurang pede dg gagasan dan rekam jejak Ganjar dan Mahfud, yg keduanya jelas2 minim prestasi?";0;0;0;1;in;1325585170146062336;1715602397970796949;SaifuddinSay;https://twitter.com/SaifuddinSay/status/1715880524861055080
